                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.2537,                 1.2394,                 1.1382,                0.94015,                0.37037,                0.79808,                0.50845,                  1.162,                 2.3044,                 1.0266,               0.045751,              0.0047513,              0.0047513
                     60,                0.99558,                0.99203,                 1.0687,                0.94015,                0.37037,                0.79808,                0.50845,                  1.162,                 2.3044,                 1.0266,               0.044812,               0.004812,               0.004812
                     61,                 1.1964,                 1.0735,                 1.1051,                0.94015,                0.37037,                0.79808,                0.50845,                  1.162,                 2.3044,                 1.0266,               0.043872,              0.0048721,              0.0048721
                     62,                 1.0059,                0.96519,                 1.0609,                0.92796,                0.47739,                0.70936,                0.46197,                 1.2497,                 2.3432,                 1.0807,               0.042931,              0.0049315,              0.0049315
                     63,                 0.9783,                 1.0069,                 1.0412,                0.92796,                0.47739,                0.70936,                0.46197,                 1.2497,                 2.3432,                 1.0807,                0.04199,              0.0049902,              0.0049902
                     64,                0.93143,                 1.2211,                 1.1096,                0.92796,                0.47739,                0.70936,                0.46197,                 1.2497,                 2.3432,                 1.0807,               0.041048,              0.0050483,              0.0050483
                     65,                 1.0949,                0.95155,                 1.0122,                0.89539,                0.63422,                0.78965,                0.51396,                 1.2978,                 2.0887,                 1.0602,               0.040106,              0.0051057,              0.0051057
                     66,                 1.0822,                0.98808,                 1.0138,                0.89539,                0.63422,                0.78965,                0.51396,                 1.2978,                 2.0887,                 1.0602,               0.039163,              0.0051625,              0.0051625
                     67,                 1.1332,                 1.2353,                 1.2007,                0.89539,                0.63422,                0.78965,                0.51396,                 1.2978,                 2.0887,                 1.0602,               0.038219,              0.0052186,              0.0052186
                     68,                  1.041,                0.93467,                0.95519,                0.90255,                0.68649,                0.81091,                  0.539,                 1.2417,                 1.9161,                  1.051,               0.037274,              0.0052741,              0.0052741
                     69,                 1.0685,                 0.9041,                 1.0133,                0.90255,                0.68649,                0.81091,                  0.539,                 1.2417,                 1.9161,                  1.051,               0.036329,              0.0053289,              0.0053289
                     70,                0.95353,                 1.0014,                 1.0157,                0.90255,                0.68649,                0.81091,                  0.539,                 1.2417,                 1.9161,                  1.051,               0.035383,               0.005383,               0.005383
                     71,                0.93636,                0.98079,                 1.0854,                0.94358,                0.61989,                0.78134,                0.43853,                 1.4568,                 2.0831,                 1.1611,               0.034436,              0.0054365,              0.0054365
                     72,                 1.2796,                 1.0409,                 1.1274,                0.94358,                0.61989,                0.78134,                0.43853,                 1.4568,                 2.0831,                 1.1611,               0.033489,              0.0054893,              0.0054893
                     73,                 1.2389,                0.97262,                 1.0947,                0.94358,                0.61989,                0.78134,                0.43853,                 1.4568,                 2.0831,                 1.1611,               0.032541,              0.0055414,              0.0055414
                     74,                 1.3276,                 1.0081,                  1.143,                0.89831,                0.65479,                0.80122,                0.51932,                 1.2822,                 1.9287,                  1.057,               0.031593,              0.0055929,              0.0055929
                     75,                  1.024,                 1.0197,                 1.0486,                0.89831,                0.65479,                0.80122,                0.51932,                 1.2822,                 1.9287,                  1.057,               0.030644,              0.0056438,              0.0056438
                     76,                 1.0243,                 1.0011,                 1.0691,                0.89831,                0.65479,                0.80122,                0.51932,                 1.2822,                 1.9287,                  1.057,               0.029694,              0.0056939,              0.0056939
                     77,                  1.053,                 0.8932,                 1.0127,                      1,                0.73055,                0.87253,                 0.5152,                 1.3928,                 1.8215,                 1.0541,               0.028743,              0.0057434,              0.0057434
                     78,                 1.1228,                 1.0511,                 1.1239,                      1,                0.73055,                0.87253,                 0.5152,                 1.3928,                 1.8215,                 1.0541,               0.027792,              0.0057923,              0.0057923
                     79,                 1.0573,                 1.0241,                 1.0848,                      1,                0.73055,                0.87253,                 0.5152,                 1.3928,                 1.8215,                 1.0541,                0.02684,              0.0058405,              0.0058405
                     80,                0.98055,                0.91218,                 1.0074,                0.93974,                0.66667,                0.79896,                0.42267,                 1.4001,                 1.9866,                 1.1234,               0.025888,               0.005888,               0.005888
                     81,                 1.1245,                0.90042,                 1.0466,                0.93974,                0.66667,                0.79896,                0.42267,                 1.4001,                 1.9866,                 1.1234,               0.024935,              0.0059349,              0.0059349
                     82,                 1.0377,                0.91353,                0.97938,                0.93974,                0.66667,                0.79896,                0.42267,                 1.4001,                 1.9866,                 1.1234,               0.023981,              0.0059811,              0.0059811
                     83,                0.97675,                0.90506,                 1.0208,                0.94602,                 0.6496,                 0.7897,                0.47597,                 1.4919,                  1.934,                 1.1389,               0.023027,              0.0060266,              0.0060266
                     84,                 1.0672,                0.89725,                  1.047,                0.94602,                 0.6496,                 0.7897,                0.47597,                 1.4919,                  1.934,                 1.1389,               0.022072,              0.0060715,              0.0060715
                     85,                0.91027,                0.83713,                0.97176,                0.94602,                 0.6496,                 0.7897,                0.47597,                 1.4919,                  1.934,                 1.1389,               0.021116,              0.0061157,              0.0061157
                     86,                0.98993,                0.94257,                 1.0272,                0.94602,                 0.6496,                 0.7897,                0.47597,                 1.4919,                  1.934,                 1.1389,               0.020159,              0.0061593,              0.0061593
                     87,                 1.0122,                0.92217,                 1.1136,                 0.9471,                0.66667,                0.77749,                0.44319,                 1.5586,                 2.0271,                 1.1723,               0.019202,              0.0062022,              0.0062022
                     88,                 1.2016,                 1.0997,                 1.0378,                 0.9471,                0.66667,                0.77749,                0.44319,                 1.5586,                 2.0271,                 1.1723,               0.018244,              0.0062445,              0.0062445
                     89,                 0.9964,                 1.0051,                 1.0085,                 0.9471,                0.66667,                0.77749,                0.44319,                 1.5586,                 2.0271,                 1.1723,               0.017286,              0.0062861,              0.0062861
                     90,                0.99364,                0.84795,                 1.0313,                 0.9471,                0.66667,                0.77749,                0.44319,                 1.5586,                 2.0271,                 1.1723,               0.016327,               0.006327,               0.006327
                     91,                 1.0345,                0.91317,                 1.0741,                0.88704,                0.66667,                0.84252,                0.53915,                  1.427,                 1.8051,                 1.0921,               0.015367,              0.0063673,              0.0063673
                     92,                 0.9572,                0.86241,                 0.9731,                0.88704,                0.66667,                0.84252,                0.53915,                  1.427,                 1.8051,                 1.0921,               0.014407,              0.0064069,              0.0064069
                     93,                 1.0177,                0.91896,                0.97606,                0.88704,                0.66667,                0.84252,                0.53915,                  1.427,                 1.8051,                 1.0921,               0.013446,              0.0064458,              0.0064458
                     94,                0.98837,                 0.9124,                 1.0314,                0.88704,                0.66667,                0.84252,                0.53915,                  1.427,                 1.8051,                 1.0921,               0.012484,              0.0064841,              0.0064841
                     95,                 1.0052,                0.95665,                  1.039,                0.84954,                0.62747,                0.81629,                 0.4479,                 1.4651,                 1.9173,                  1.136,               0.011522,              0.0065217,              0.0065217
                     96,                 1.0362,                0.87766,                 1.0319,                0.84954,                0.62747,                0.81629,                 0.4479,                 1.4651,                 1.9173,                  1.136,               0.010559,              0.0065587,              0.0065587
                     97,                 1.0354,                0.95002,                 1.0592,                0.84954,                0.62747,                0.81629,                 0.4479,                 1.4651,                 1.9173,                  1.136,               0.009595,               0.006595,               0.006595
                     98,                 1.0231,                 1.0554,                 1.0532,                0.84954,                0.62747,                0.81629,                 0.4479,                 1.4651,                 1.9173,                  1.136,              0.0086307,              0.0066307,              0.0066307
                     99,                0.98651,                0.83105,                0.99551,                0.90346,                0.69354,                0.83812,                0.51965,                 1.4392,                 1.6795,                 1.1073,              0.0076657,              0.0066657,              0.0066657
                    100,                 1.1121,                0.92143,                 1.0958,                0.90346,                0.69354,                0.83812,                0.51965,                 1.4392,                 1.6795,                 1.1073,                 0.0067,                 0.0067,                 0.0067
                    101,                 1.0197,                 0.8585,                0.98524,                0.90346,                0.69354,                0.83812,                0.51965,                 1.4392,                 1.6795,                 1.1073,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0009,                0.85254,                 1.0388,                0.90346,                0.69354,                0.83812,                0.51965,                 1.4392,                 1.6795,                 1.1073,               0.006667,               0.006667,               0.006667
                    103,                0.99285,                0.87938,                 1.0452,                0.93394,                0.74074,                 0.8503,                0.53257,                 1.3794,                 1.6632,                 1.1078,               0.006634,               0.006634,               0.006634
                    104,                0.90733,                0.90564,                 1.0076,                0.93394,                0.74074,                 0.8503,                0.53257,                 1.3794,                 1.6632,                 1.1078,               0.006601,               0.006601,               0.006601
                    105,                 1.1081,                 0.9224,                0.98089,                0.93394,                0.74074,                 0.8503,                0.53257,                 1.3794,                 1.6632,                 1.1078,               0.006568,               0.006568,               0.006568
                    106,                 1.0714,                0.90179,                 1.0396,                0.93394,                0.74074,                 0.8503,                0.53257,                 1.3794,                 1.6632,                 1.1078,               0.006535,               0.006535,               0.006535
                    107,                  1.011,                0.98235,                 1.0192,                0.90025,                0.74074,                 0.8586,                0.55708,                 1.3015,                 1.6638,                 1.0756,               0.006502,               0.006502,               0.006502
                    108,                0.93326,                0.84844,                 0.9985,                0.90025,                0.74074,                 0.8586,                0.55708,                 1.3015,                 1.6638,                 1.0756,               0.006469,               0.006469,               0.006469
                    109,                0.94417,                0.85279,                0.99782,                0.90025,                0.74074,                 0.8586,                0.55708,                 1.3015,                 1.6638,                 1.0756,               0.006436,               0.006436,               0.006436
